"id","title","date","authors","authorsInternal","topics","jel","abstract"
"2010-10","Asset-Liability Management: An Overview","August 2010","Yuliya Romanyuk","FALSE","Foreign reserves management","G,G1,G11","Relevant literature on asset-liability management (ALM) is reviewed and  different ALM approaches are discussed that may be of interest to the Bank of  Canada for the purpose of modelling the Exchange Fund Account (EFA). The author  describes the general idea behind ALM, its pros and cons, risk measures and  strategies, as well as some applications. Particular attention is paid to  central bank reserves management. Ideas and suggestions are offered for future  research on the ALM framework for the EFA."
"2010-11","Evaluating the Effect of the Bank of Canada's Conditional Commitment Policy","August 2010","Zhongfang He","FALSE","Interest rates,Monetary policy implementation,Transmission of monetary policy","E,E4,E5,E6","The author evaluates the effect of the Bank of Canada's conditional commitment  regarding the target overnight rate on longer-term market interest rates by  taking into account the relationship between interest rates, inflation, and  unemployment rates. By using vector autoregressive models of monthly interest  rates, month-over-month inflation, and unemployment rates for Canada and the  United States, the author finds that the Canadian 1-year treasury bill rates and  1-year forward 3-month rates have generally been lower than their model-implied  values since April 2009, while the difference between the U.S. realized rates  and their model-implied values has been much smaller. The author also studies  the effect of the conditional commitment on longer-term government bond yields  with maturities of 2, 5, and 10 years, and finds lower actual Canadian  longer-term interest rates than their model-implied values, though their  difference diminishes as the maturities become longer. The evidence appears to  suggest that the Bank of Canada's conditional commitment likely has produced a  persistent effect in lowering Canadian interest rates relative to what their  historical relationship with inflation and unemployment rates would imply.  However, this finding is not statistically strong and is subject to caveats such  as possible in-sample model instability and the dependence of the results on the  choice of inflation variable."
"2010-12","Nowcasting the Global Economy","September 2010","James Rossiter","FALSE","Economic models,International topics","E,E3,E37,F,F4,F47","Forecasts of global economic activity and inflation are important inputs when conducting monetary policy in small open economies such as Canada. As part of the Bank of Canada's broad agenda to augment its short-term forecasting tools, the author constructs simple mixed-frequency forecasting equations for quarterly global output, imports, and inflation using the monthly global Purchasing Managers Index (PMI). When compared against two benchmark models, the results show that the PMIs are useful for forecasting developments in the global economy. As the forecasts are updated throughout the quarter with the monthly release of the PMI, forecasting performance generally improves. An analysis of the forecasts over the period of the Great Recession (in particular, 2008Q4 to 2009Q2) shows that, while models that include the ""soft"" PMI indicators did not fully capture the sharp deterioration in the global economy, they nevertheless improved the forecasts relative to the benchmark models. This finding highlights the usefulness of such indicators for short-term forecasting."
"2010-13","Liquidity, Risk, and Return: Specifying an Objective Function for the Management of Foreign Reserves","September 2010","Yuliya Romanyuk","FALSE","Foreign reserves management","G,G1,G11","An objective function is a key component of a strategic portfolio management model used to determine the optimal allocations of assets and, possibly, their associated liabilities over some investment horizon. The author discusses investment philosophies and perspectives for the management of foreign reserves, and investigates how to translate the three common policy objectives for reserves (liquidity, safety, and return) into objective functions for strategic reserves management. Stochastic programming is identified as an advantageous modelling framework to capture the objectives of foreign reserves management, and a strategic reserves management model is illustrated that trades off expected net returns with costs and liquidity issues related to a potential liquidation of a portion of the portfolio."
"2010-14","Losses from Simulated Defaults in Canada's Large Value Transfer System","October 2010","Nellie Zhang,Tom Hossfeld","FALSE,TRUE","Financial Institutions,Financial stability,Payment clearing and settlement systems","E,E4,E47,G,G2,G21","The Large Value Transfer System (LVTS) loss-sharing mechanism was designed to  ensure that, in the event of a one-participant default, the collateral pledged  by direct members of the system would be sufficient to cover the largest  possible net debit position of a defaulting participant. However, the situation  may not hold if the indirect effects of the defaults are taken into  consideration, or if two participants default during the same payment cycle. The  authors examine surviving participant total losses under both oneand  two-participant default conditions, assuming the potential knock-on effects of  the default. Their analysis includes the impact of a decline in value of LVTS  collateral following an unexpected default."
"2010-15","Has the Inclusion of Forward-Looking Statements in Monetary Policy Communications Made the Bank of Canada More Transparent?","November 2010","Christine Fay,Toni Gravelle","TRUE,TRUE","Central bank research,Interest rates,Transmission of monetary policy","E,E5,E52,E58","To investigate the extent to which the transparency of the Bank of Canada's  monetary policy has improved, the authors examine empirically – over the period  30 October 2000 to 31 May 2007 – the reaction of Canadian financial markets to  official Bank communications, and in particular their reaction to the recent  inclusion of forward-looking policy-rate guidance in these communications. The  authors find evidence that fixed announcement date (FAD) press releases, and, to  a lesser extent, speeches by Governing Council members, significantly affect  near-term interest rate expectations, indicating that central bank communication  conveys important information to market participants. However, the authors'  results also show that FAD press releases and speeches do not significantly  impact market rates over the more recent period, when forward-looking statements  have been used on a regular basis. The authors investigate two explanations for  this change in response: (i) market participants better understand the Bank's  monetary policy reaction function as they become accustomed to the FAD regime;  or, (ii) market participants focus more on the forward-looking statements and  less on the Bank's discussion of the economic outlook, and therefore respond  less than before to new macroeconomic data releases. The authors find evidence  to support the second explanation: forward-looking statements – even though they  have been designed to be conditional – have made the Bank's decisions on the  policy rate more predictable, but not necessarily more transparent."
"2010-16","The Macroeconomic Implications of Changes in Bank Capital and Liquidity Requirements in Canada: Insights from the BoC-GEM-FIN","December 2010","Carlos De Resende,Ali Dib,Nikita Perevalov","FALSE,FALSE,FALSE","Economic models,Financial Institutions,Financial stability,International topics","E,E3,E32,E4,E44,E5,G,G1,G2","The authors use simulations within the BoC-GEM-FIN, the Bank of Canada's version  of the Global Economy Model with financial frictions in both the demand and  supply sides of the credit market, to investigate the macroeconomic implications  of changing bank regulations on the Canadian economy. Specifically, they compute  short- and long-run impacts on key macroeconomic and financial variables  following increases in the minimum required capital and liquidity ratios. The  results indicate that, while long-run effects on bank loans, lending spreads,  investment, and output are modest, the short-run effects are non-negligible. In  addition, the time horizon for implementing the regulatory changes and the  response of monetary policy substantially affect the macroeconomic outcomes.  Finally, increasing the required bank capital ratio in other economies roughly  doubles the size and duration of the economic downturn in Canada, compared to  the case where the increase is implemented only in the Canadian banking sector."
"2010-1","The Power of Many: Assessing the Economic Impact of the Global Fiscal Stimulus","January 2010","Carlos De Resende,René Lalonde,Stephen Snudden","FALSE,FALSE,FALSE","Business fluctuations and cycles,Fiscal Policy,International topics,Recent economic and financial developments","E,E5,E52,E58,E6,E61,E63,F,F4,F42","The Bank of Canada Global Economy Model (BoC-GEM) is used to examine the effect of various types of discretionary fiscal policies on different regions of the globe. The BoC-GEM is a microfounded dynamic stochastic general-equilibrium global model with six regions, multiple sectors, and international linkages. The authors use the model to assess four main fiscal policy concerns: (i) how the effect of an isolated local fiscal stimulus differs from one jointly implemented in all regions; (ii) which regions are most likely to gain from joint fiscal stimuli, and why; (iii) how the impact of fiscal stimulus can differ conditional on how it is implemented, its timing and duration, and its magnitude relative to that of other regions; and (iv) how the impact of fiscal policy is affected by the inability of monetary policy to push nominal interest rates below zero. The authors use their results to gauge the potential effect of fiscal policy initiatives of the G-20 countries in 2009 and 2010."
"2010-2","Market Expectations and Option Prices: Evidence for the Can$/US$ Exchange Rate","March 2010","Alejandro García,Andrei Prokopiw","FALSE,FALSE","Econometric and statistical methods,Exchange rates,Financial markets","C,C0,C00,C02,G,G1,G13","Security prices contain valuable information that can be used to make a wide  variety of economic decisions. To extract this information, a model is required  that relates market prices to the desired information, and that ideally can be  implemented using timely and low-cost methods. The authors explore two models  applied to option prices to extract the risk-neutral probability density  function (R-PDF) of the expected Can$/US$ exchange rate. Each of the two models  extends the Black-Scholes model by using a mixture of two lognormals for the  terminal distribution, instead of a single lognormal: one mixed lognormal  imposes a specific stochastic process for the underlying asset, and the other  does not. The contribution of the paper is to propose a simple methodology to  build R-PDFs with a constant time to maturity in the absence of option prices  for the maturity of interest. The authors apply this methodology and find that  the two models provide similar results for the degree of uncertainty (i.e., the  variance) surrounding the future level of the exchange rate, but differ on the  likely direction of the exchange rate movements (i.e., the skewness)."
"2010-3","Le pouvoir de prévision des indices PMI","April 2010","Claudia Godbout,Jocelyn Jacob","TRUE,TRUE","Business fluctuations and cycles,International topics","E,E3,E37,F,F4,F47","The forecast of world economic growth plays a key role in the conduct of  Canadian monetary policy. In this context, the authors study the usefulness of  the monthly Purchasing Managers’ Indexes (PMIs) in predicting short-term real  GDP growth in the euro area, Japan, the United Kingdom, and China, as well as in  the world economy. The main advantage of the PMIs lies in the timeliness of  their releases compared to that of quarterly national accounts data and other  related monthly indicators. The authors’ goal is to assess whether PMIs can help  predict real GDP growth at the margin of other traditional monthly indicators  (on top of the advantage related to their timeliness). To that end, the authors  build simple indicator models and verify whether the addition of PMIs improves  the in- and out-of-sample predictions. For all economies, PMIs turn out to be  significant explanatory variables and to substantially improve the accuracy of  predictions."
