"id","title","date","authors","authorsInternal","topics","jel","pdf","abstract"
"2015-40","Credit Conditions and Consumption, House Prices and Debt: What Makes Canada Different?","November 2015","John Muellbauer,Pierre St-Amant,David Williams","FALSE,TRUE,TRUE","Credit and credit aggregates,Domestic demand and components,Economic models,Financial Institutions,Financial stability,Financial system regulation and policies,Housing,Transmission of monetary policy","E,E0,E02,E2,E21,E4,E44,G,G2,G21,R,R2,R21,R3,R31","http://www.bankofcanada.ca/wp-content/uploads/2015/11/wp2015-40.pdf","There is widespread agreement that, in the United States, higher house prices raise consumption via collateral or possibly wealth effects. The presence of similar channels in Canada would have important implications for monetary policy transmission. We trace the impact of shifts in non-price household credit conditions through joint estimation of a system of error-correction equations for Canadian aggregate consumption, house prices and mortgage debt. We find strong evidence that, after controlling for income and household portfolios, easier credit conditions raise house prices, debt and consumption. However, unlike in the United States, housing collateral effects on consumption are absent. Given credit conditions, rising house prices increase the mortgage down-payment requirement and reduce consumption, although there is evidence for some attenuation of this effect over the 2000s. We also find that high and rising levels of both house prices and debt since the late-1990s can be mostly explained by movements in incomes, housing supply, mortgage interest rates and credit conditions, suggesting that the outlook for house prices and debt could depend mainly on the future paths of these variables."
"2015-41","Monetary Policy and Financial Stability: Cross-Country Evidence","November 2015","Christian Friedrich,Kristina Hess,Rose Cunningham","TRUE,TRUE,TRUE","Financial stability,International topics,Monetary policy framework","E,E4,E5,G,G0,G01","http://www.bankofcanada.ca/wp-content/uploads/2015/11/wp2015-41.pdf","Central banks may face challenges in achieving their price stability goals when financial stability risks are present. There is, however, considerable heterogeneity among central banks with respect to how they manage these potential trade-offs. In this paper, we review the institutional and operational policy frameworks of ten central banks in major advanced economies and then assess the effect of financial stability risks on their monetary policy decisions according to these frameworks. To do so, we construct a time-varying financial stability orientation (FSO) index that quantifies a central bank’s policy orientation with respect to financial stability that spans the major viewpoints of the literature: “leaning against the wind” versus “cleaning up after the crash.” The index encompasses three dimensions: (i) the nature of the statutory frameworks, (ii) the extent of the regulatory tool kit, and (iii) the prominence of financial stability references in central bank monetary policy statements. We then include our FSO index in a modified Taylor rule, which is estimated using a cross-country panel of up to ten central banks for the period from 2000Q1 to 2014Q4. We find that in episodes of high financial stability risks, measured by a strongly positive credit to GDP gap, “leaning-type” central banks, i.e., those with a high FSO index value, appear to account for financial stability considerations in their monetary policy rate decisions. For “cleaning-type” central banks, we do not find this to be the case. Our baseline specification suggests that a representative leaning-type central bank’s policy rate is about 0.3 percentage points higher when financial stability risks are present than the policy rate of a representative cleaning-type central bank. We also find that the strength of this response increases in the additional presence of a house price boom but not so for the simultaneous occurrence of an equity price boom."
"2015-42","Speculators, Prices and Market Volatility","November 2015","Celso Brunetti,Bahattin Buyuksahin,Jeffrey H. Harris","FALSE,FALSE,FALSE","International topics,Recent economic and financial developments","C,C3,G,G1","http://www.bankofcanada.ca/wp-content/uploads/2015/11/wp2015-42.pdf","We analyze data from 2005 through 2009 that uniquely identify categories of traders to assess how speculators such as hedge funds and swap dealers relate to volatility and price changes. Examining various subperiods where price trends are strong, we find little evidence that speculators destabilize financial markets. To the contrary, hedge funds facilitate price discovery by trading with contemporaneous returns while serving to reduce volatility. Swap dealer activity, however, is largely unrelated to both contemporaneous returns and volatility. Our evidence is consistent with the hypothesis that hedge funds provide valuable liquidity and largely serve to stabilize futures markets."
"2015-43","On the Essentiality of E-Money","November 2015","Jonathan Chiu,Tsz-Nga Wong","TRUE,TRUE","Bank notes,Digital Currencies,Payment clearing and settlement systems","E,E4,E42,E5,E58,L,L5,L51","http://www.bankofcanada.ca/wp-content/uploads/2015/11/wp2015-43.pdf","Recent years have witnessed the advances of e-money systems such as Bitcoin, PayPal and various forms of stored-value cards. This paper adopts a mechanism design approach to identify some essential features of different payment systems that implement and improve the constrained optimal resource allocation. We find that, compared to cash, emoney technologies allowing limited participation, limited transferability and non-zerosum transfers can help mitigate fundamental frictions and enhance social welfare, if they satisfy conditions in terms of parameters such as trade frequency and bargaining powers. An optimally designed e-money system exhibits realistic arrangements including nonlinear pricing, cross-subsidization and positive interchange fees even when the technologies incur no costs. Regulations such as a cap on interchange fees (à la the Dodd- Frank Act) can distort the optimal mechanism and reduce welfare."
"2015-44","Emergency Liquidity Facilities, Signalling and Funding Costs","December 2015","Céline Gauthier,Alfred Lehar,Héctor Pérez Saiz,Moez Souissi","FALSE,FALSE,TRUE,FALSE","Financial Institutions,Financial stability,Lender of last resort","G,G0,G01,G2,G21,G28","http://www.bankofcanada.ca/wp-content/uploads/2015/12/wp2015-44.pdf","In the months preceding the failure of Lehman Brothers in September 2008, banks were willing to pay a premium over the Federal Reserve’s discount window (DW) rate to participate in the much less flexible Term Auction Facility (TAF). We empirically test the predictions of a new signalling model that offers a rationale for offering two different liquidity facilities. In our model, illiquid yet solvent banks need to pay a high cost to access the TAF as a way to signal their quality, in exchange for more favourable funding in the future. Less solvent banks access the less costly and more flexible DW in case they experience an unexpected run, paying a higher future funding cost. The existence of two facilities with different characteristics allowed banks to signal their level of solvency, which helped to decrease asymmetric information during the crisis. Using recently disclosed data on access to these facilities, we provide evidence consistent with these results. Banks that accessed TAF in 2008 paid approximately 31 basis points less in the interbank lending market in 2010 and were perceived as less risky than banks that accessed the DW. Our results can contribute to a better design of liquidity facilities during a financial crisis."
"2015-45","Exchange Rate Fluctuations and Labour Market Adjustments in Canadian Manufacturing Industries","December 2015","Gabriel Bruneau,Kevin Moran","TRUE,FALSE","Econometric and statistical methods,Exchange rate regimes,Exchange rates,Labour markets,Recent economic and financial developments","E,E2,E24,F,F1,F14,F16,F3,F31,F4,F41,J,J2,J23","http://www.bankofcanada.ca/wp-content/uploads/2015/12/wp2015-45.pdf","We estimate the link between exchange rate fluctuations and the labour input of Canadian manufacturing industries. The analysis is based on a dynamic model of labour demand, and the econometric strategy employs a panel two-step approach for cointegrating regressions. Our data are drawn from a panel of 20 manufacturing industries from the KLEMS database and cover a long sample period that includes two full cycles of appreciation and depreciation of the Canadian dollar. Our results indicate that exchange rate fluctuations have significant long-term effects on the labour input of Canada’s manufacturing industries, that these effects are stronger for trade-oriented industries, and that these long-term impacts materialize only gradually following shocks."
"2015-46","Tractable Term-Structure Models and the Zero Lower Bound","December 2015","Anh Le,Bruno Feunou,Christian Lundblad,Jean-Sébastien Fontaine","FALSE,TRUE,FALSE,TRUE","Asset Pricing,Interest rates,International financial markets,International topics,Transmission of monetary policy,Uncertainty and monetary policy","G,G1,G12","http://www.bankofcanada.ca/wp-content/uploads/2015/12/wp2015-46.pdf","We greatly expand the space of tractable term-structure models. We consider one example that combines positive yields with rich volatility and correlation dynamics. Bond prices are expressed in closed form and estimation is straightforward. We find that the early stages of a recession have distinct effects on yield volatility. Upon entering a recession when yields are far from the lower bound, (i) the volatility term structure becomes flatter, (ii) the level and slope of yields are nearly uncorrelated, and (iii) the second principal component of yields plays a larger role. However, these facts are significantly different when yields are close to the lower bound. Entering a recession in such a setting, (i) the volatility term structure instead steepens, (ii) the level and slope factors are strongly correlated, and (iii) the second principal component of yields plays a smaller role. Existing dynamic term-structure models do not capture the changes in the cyclical responses of the volatility term structure near the lower bound."
"2015-47","Debt Overhang and Deleveraging in the US Household Sector: Gauging the Impact on Consumption","December 2015","Bruno Albuquerque,Georgi Krustev","FALSE,FALSE","Credit and credit aggregates,Econometric and statistical methods,International topics","C,C1,C13,C2,C23,C5,C52,D,D1,D12,H,H3,H31","http://www.bankofcanada.ca/wp-content/uploads/2015/12/wp2015-47.pdf","Using a novel dataset for the US states, this paper examines whether household debt and the protracted debt deleveraging help explain the dismal performance of US consumption since 2007, in the aftermath of the housing bubble. By separating the concepts of deleveraging and debt overhang—a flow and stock effect—we find that excessive indebtedness exerted a meaningful drag on consumption over and beyond income and wealth effects. The overall impact, however, is modest, around one-sixth of the slowdown in consumption between 2000–06 and between 2007–12—and mostly driven by states with particularly large imbalances in the household sector. This might be indicative of non-linearities, whereby indebtedness begins to bite only when misalignments from sustainable debt dynamics become more excessive."
"2016-1","Reconciling the Differences in Aggregate U.S. Wage Series","January 2016","Julien Champagne,André Kurmann,Jay Stewart","TRUE,FALSE,FALSE","Business fluctuations and cycles,Labour markets","E,E0,E01,E2,E24,E3,E30,J,J3,J30","http://www.bankofcanada.ca/wp-content/uploads/2016/01/swp2016-1.pdf","Average hourly real wage series from the Labor Productivity and Costs (LPC) program and the Current Employment Statistics (CES) program have evolved very differently over the past decades. While the LPC wage has grown consistently over time and become markedly more volatile since the mid-1980s, the CES wage stagnated from the early 1970s to the mid-1990s and experienced a substantial drop in volatility since the mid-1980s. These differences are due to the divergent evolution of average weekly earnings in the two data sets. Average weekly hours, by contrast, have evolved very similarly. Using information from the Current Population Survey and other publicly available data, we identify two principal sources for the divergent evolution of weekly earnings: differences in earnings concept (employer-paid supplements and irregular earnings of high-income individuals included in the LPC data but not in the CES data); and differences in worker coverage (all non-farm business workers for the LPC data versus production and nonsupervisory workers in private non-agricultural establishments for the CES data). The results have important implications for the appropriate choice of aggregate wage series in macroeconomic applications."
"2016-10","Measuring Systemic Risk Across Financial Market Infrastructures","March 2016","Fuchun Li,Héctor Pérez Saiz","TRUE,TRUE","Econometric and statistical methods,Financial stability,Payment clearing and settlement systems","C,C5,C58,G,G2,G21,G23","http://www.bankofcanada.ca/wp-content/uploads/2016/03/swp2016-10.pdf","We measure systemic risk in the network of financial market infrastructures (FMIs) as the probability that two or more FMIs have a large credit risk exposure to the same FMI participant. We construct indicators of credit risk exposures in three main Canadian FMIs during the period 2007–11 and use extreme value methods to estimate this probability. We find large differences in the contribution to systemic risk across participants. We also find that when participants are in financial distress, they tend to create large credit exposures in two or more FMIs. Our results suggest that an appropriate oversight of FMIs may benefit from an in-depth system-wide analysis, which may have useful implications for the macroprudential regulation of the financial system."
